URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price,primary_school,secondary_school,preschool,train_station,distance_to_cbd
property-house-vic-oakleigh-146297072,Oakleigh,3166,46 John Street,-37.904854,145.100872,5.0,3.0,house,2.0,2025-01-29,543.0,"$1,574,000",6.0,0.0,6.0,2.0,15093.808340852773
property-house-vic-oakleigh-146553532,Oakleigh,3166,4 William Street,-37.901274,145.103545,4.0,2.0,house,3.0,2024-11-30,544.0,"$1,760,000",6.0,0.0,6.0,2.0,15026.418296024194
property-house-vic-oakleigh-146494292,Oakleigh,3166,1135 North Road,-37.90951,145.086796,4.0,2.0,house,1.0,2024-11-30,671.0,"$1,130,000",6.0,1.0,4.0,4.0,14524.35315215143
property-house-vic-oakleigh-146117852,Oakleigh,3166,36 Golf Links Avenue,-37.907337,145.091151,4.0,2.0,house,2.0,2024-11-22,796.0,"$1,480,000",7.0,0.0,4.0,4.0,14634.441805671477
property-house-vic-oakleigh-146073768,Oakleigh,3166,142 Haughton Road,-37.9101472,145.1006133,3.0,1.0,house,3.0,2024-10-12,379.0,"$1,010,000",7.0,0.0,6.0,2.0,15459.857702909101
property-house-vic-oakleigh-145963004,Oakleigh,3166,25 Hatter Street,-37.905946,145.08765,3.0,1.0,house,2.0,2024-10-05,566.0,"$1,427,000",7.0,0.0,4.0,4.0,14304.1880125783
property-unit-vic-oakleigh-145986188,Oakleigh,3166,1/1 Leroux Street,-37.89617211,145.1042212,2.0,1.0,unit,1.0,2024-10-05,197.0,"$726,000",6.0,0.0,5.0,2.0,14731.67513738639
property-house-vic-oakleigh-145798568,Oakleigh,3166,13 Golf Links Avenue,-37.905588,145.091117,3.0,1.0,house,5.0,2024-09-14,932.0,"$1,760,000",7.0,0.0,4.0,4.0,14500.96013372429
property-house-vic-oakleigh-145866712,Oakleigh,3166,5 George Street,-37.901253,145.102204,2.0,1.0,house,3.0,2024-09-09,544.0,"$1,170,000",6.0,0.0,7.0,2.0,14932.455165355106
property-house-vic-oakleigh-145433108,Oakleigh,3166,4 Stamford Road,-37.891819,145.101229,3.0,1.0,house,2.0,2024-09-07,725.0,"$1,205,500",5.0,0.0,3.0,1.0,14236.12341279993
property-unit-vic-oakleigh-145634016,Oakleigh,3166,1/16 Bishop Street,-37.906336,145.093473,3.0,1.0,unit,2.0,2024-08-07,317.0,"$1,140,000",7.0,0.0,4.0,3.0,14710.18959570418
property-house-vic-oakleigh-145374784,Oakleigh,3166,1470 Dandenong Road,-37.89640219,145.0975866,3.0,2.0,house,2.0,2024-08-03,521.0,"$1,212,000",6.0,0.0,5.0,4.0,14281.265416246046
property-house-vic-oakleigh-145390440,Oakleigh,3166,1179 North Road,-37.91011,145.092103,3.0,1.0,house,4.0,2024-07-27,568.0,"$1,080,000",8.0,0.0,4.0,2.0,14905.997055319576
property-unit-vic-oakleigh-144820888,Oakleigh,3166,1/201-203 Huntingdale Road,-37.90262743,145.1049148,2.0,1.0,unit,4.0,2024-06-13,132.0,"$640,000",7.0,0.0,6.0,2.0,15213.860136550184
property-house-vic-oakleigh-144892820,Oakleigh,3166,16 Schoolhall Street,-37.907268,145.088036,3.0,1.0,house,2.0,2024-05-25,599.0,"$1,311,000",8.0,0.0,4.0,4.0,14429.625797663388
property-house-vic-oakleigh-144630380,Oakleigh,3166,8 Allen Street,-37.889684,145.090106,3.0,1.0,house,2.0,2024-05-11,650.0,"$1,275,000",6.0,0.0,1.0,4.0,13306.745677026624
property-house-vic-oakleigh-144492752,Oakleigh,3166,10 George Street,-37.901564,145.102492,4.0,1.0,house,2.0,2024-04-06,544.0,"$1,450,000",6.0,0.0,7.0,2.0,14973.721560439555
property-house-vic-oakleigh-144169512,Oakleigh,3166,2 Andrew Street,-37.906141,145.094651,4.0,2.0,house,2.0,2024-03-02,580.0,"$1,585,000",7.0,0.0,5.0,3.0,14772.915988072658
property-house-vic-oakleigh-144134520,Oakleigh,3166,34 Bishop Street,-37.907489,145.093274,4.0,2.0,house,2.0,2024-02-22,613.0,"$1,808,888",7.0,0.0,4.0,3.0,14783.159523252652
property-house-vic-oakleigh-143535884,Oakleigh,3166,94 Haughton Road,-37.907304,145.096896,5.0,3.0,house,4.0,2024-02-17,754.0,"$1,255,000",7.0,0.0,5.0,2.0,15006.134393469503
property-house-vic-oakleigh-143700552,Oakleigh,3166,797 Warrigal Road,-37.890889,145.088858,4.0,2.0,house,3.0,2024-02-15,605.0,"$1,360,000",7.0,0.0,1.0,5.0,13300.393242948572
property-unit-vic-oakleigh-143875016,Oakleigh,3166,1197 North Road,-37.91021665,145.0939216,3.0,1.0,unit,2.0,2024-02-03,312.0,"$833,500",7.0,0.0,4.0,2.0,15030.430923429798
property-house-vic-oakleigh-143704692,Oakleigh,3166,19 Devon Grove,-37.89489,145.1033,3.0,1.0,house,1.0,2024-01-31,713.0,"$1,476,000",6.0,0.0,5.0,2.0,14582.474717094803
property-house-vic-oakleigh-143700500,Oakleigh,3166,28 Davey Avenue,-37.903086,145.0891,3.0,1.0,house,1.0,2023-12-14,586.0,"$1,320,000",6.0,0.0,4.0,4.0,14183.28551037949
property-house-vic-oakleigh-142475156,Oakleigh,3166,17 Andrew Street,-37.906917,145.094165,2.0,1.0,house,2.0,2023-11-13,601.0,"$1,320,000",7.0,0.0,5.0,3.0,14798.521898529052
property-house-vic-oakleigh-143253124,Oakleigh,3166,117 Atherton Road,-37.89951331,145.0965967,3.0,1.0,house,2.0,2023-10-28,288.0,"$1,050,000",7.0,0.0,5.0,4.0,14427.251210898643
property-house-vic-oakleigh-143165012,Oakleigh,3166,1532 Dandenong Road,-37.89945711,145.102603,4.0,3.0,house,5.0,2023-10-21,697.0,"$1,565,000",6.0,0.0,5.0,2.0,14837.26249712724
property-unit-vic-oakleigh-143034476,Oakleigh,3166,1/103 Burlington Street,-37.90299035,145.1012069,3.0,2.0,unit,2.0,2023-10-07,451.0,"$1,255,000",6.0,0.0,6.0,2.0,14984.915510760586
property-house-vic-oakleigh-143081792,Oakleigh,3166,13 The Avenue,-37.896702,145.095008,3.0,1.0,house,3.0,2023-09-21,884.0,"$2,002,000",7.0,0.0,5.0,4.0,14123.310221054766
property-house-vic-oakleigh-142839328,Oakleigh,3166,1A Westley Street,-37.895311,145.094782,4.0,2.0,house,2.0,2023-09-16,672.0,"$1,664,000",7.0,0.0,3.0,4.0,14012.36285022512
property-house-vic-oakleigh-142887448,Oakleigh,3166,71 Burlington Street,-37.902723,145.09897,3.0,2.0,house,2.0,2023-09-16,557.0,"$1,335,000",7.0,0.0,5.0,2.0,14814.164566595775
property-house-vic-oakleigh-142738948,Oakleigh,3166,8 Westgate Street,-37.904705,145.08725,5.0,2.0,house,2.0,2023-08-26,536.0,"$2,121,000",7.0,0.0,4.0,4.0,14184.461866268106
property-house-vic-oakleigh-142719456,Oakleigh,3166,8 Young Street,-37.907498,145.095503,3.0,1.0,house,4.0,2023-08-26,547.0,"$1,336,500",7.0,0.0,5.0,2.0,14929.067924006586
property-house-vic-oakleigh-142487532,Oakleigh,3166,15 Mora Avenue,-37.901987,145.089117,3.0,1.0,house,2.0,2023-08-24,557.0,"$1,430,000",6.0,0.0,4.0,4.0,14103.20293791894
property-house-vic-oakleigh-142771168,Oakleigh,3166,9 Best Street,-37.90857898,145.0917036,4.0,1.0,house,1.0,2023-08-21,581.0,"$1,258,000",7.0,0.0,4.0,3.0,14763.926522418882
property-house-vic-oakleigh-142643836,Oakleigh,3166,29 Tamar Grove,-37.898159,145.096495,2.0,1.0,house,1.0,2023-08-12,543.0,"$1,255,000",7.0,0.0,5.0,4.0,14326.168819700733
property-house-vic-oakleigh-142494148,Oakleigh,3166,21 Dalgety Street,-37.891702,145.090634,5.0,2.0,house,2.0,2023-07-20,633.0,"$2,110,000",8.0,0.0,1.0,4.0,13479.077210606774
property-house-vic-oakleigh-142214352,Oakleigh,3166,17 Logie Street,-37.894431,145.091109,3.0,1.0,house,2.0,2023-06-24,576.0,"$1,380,000",7.0,0.0,2.0,3.0,13698.308394498543
property-house-vic-oakleigh-142012476,Oakleigh,3166,2 The Avenue,-37.896809,145.093777,4.0,1.0,house,2.0,2023-06-03,1048.0,"$1,792,000",7.0,0.0,5.0,4.0,14046.086801042724
property-house-vic-oakleigh-142069200,Oakleigh,3166,5 Ferntree Gully Road,-37.896165,145.100788,3.0,1.0,house,2.0,2023-05-31,588.0,"$900,000",6.0,0.0,5.0,2.0,14489.005126408141
property-house-vic-oakleigh-142065296,Oakleigh,3166,44 Golf Links Avenue,-37.90810569,145.0909795,4.0,2.0,house,4.0,2023-05-27,801.0,"$2,040,000",7.0,0.0,4.0,3.0,14681.574892112016
property-house-vic-oakleigh-142083272,Oakleigh,3166,14 Mora Avenue,-37.902245,145.088894,3.0,1.0,house,2.0,2023-05-18,475.0,"$1,400,000",6.0,0.0,4.0,4.0,14107.571887253998
property-house-vic-oakleigh-141952500,Oakleigh,3166,1444 Dandenong Road,-37.8950298,145.0951996,4.0,1.0,house,2.0,2023-05-10,794.0,"$1,280,000",7.0,0.0,4.0,4.0,14022.210543859965
property-house-vic-oakleigh-141841092,Oakleigh,3166,110 Burlington Street,-37.903484,145.102545,2.0,1.0,house,2.0,2023-04-29,631.0,"$1,240,000",6.0,0.0,6.0,2.0,15110.68822322102
property-house-vic-oakleigh-141821528,Oakleigh,3166,5 Parer Street,-37.909079,145.098022,3.0,1.0,house,2.0,2023-04-22,700.0,"$1,305,000",7.0,0.0,5.0,2.0,15211.004437293173
property-house-vic-oakleigh-141580908,Oakleigh,3166,3 Henry Street,-37.901347,145.104169,3.0,1.0,house,2.0,2023-03-25,538.0,"$1,050,000",6.0,0.0,6.0,2.0,15074.574854158469
property-house-vic-oakleigh-141581188,Oakleigh,3166,72 Eastgate Street,-37.909366,145.088471,3.0,1.0,house,1.0,2023-03-25,561.0,"$1,010,000",6.0,0.0,4.0,3.0,14618.469264294294
property-house-vic-oakleigh-141337900,Oakleigh,3166,42 Bishop Street,-37.908216,145.093142,4.0,2.0,house,2.0,2023-02-25,592.0,"$1,970,000",7.0,0.0,4.0,2.0,14829.143489956725
property-house-vic-oakleigh-140809743,Oakleigh,3166,20 Davey Avenue,-37.903022,145.088488,4.0,1.0,house,2.0,2022-12-03,591.0,"$1,632,000",6.0,0.0,4.0,4.0,14138.560192806277
property-house-vic-oakleigh-140769871,Oakleigh,3166,161 Atherton Road,-37.900147,145.101243,4.0,3.0,house,4.0,2022-11-24,654.0,"$1,950,000",6.0,0.0,6.0,2.0,14790.134353852518
property-house-vic-oakleigh-140574987,Oakleigh,3166,8 Grandview Grove,-37.894008,145.105642,3.0,1.0,house,2.0,2022-11-23,676.0,"$1,050,000",5.0,0.0,3.0,2.0,14692.88886230395
property-house-vic-oakleigh-140019467,Oakleigh,3166,32 Stamford Road,-37.895422,145.100557,3.0,2.0,house,3.0,2022-11-22,655.0,"$1,430,000",6.0,0.0,5.0,2.0,14423.346942772296
property-house-vic-oakleigh-140389659,Oakleigh,3166,6 Wilson Street,-37.908202,145.093938,4.0,2.0,house,2.0,2022-10-22,543.0,"$1,337,000",7.0,0.0,4.0,2.0,14879.613913458244
property-house-vic-oakleigh-139735463,Oakleigh,3166,1446 Dandenong Road,-37.89512228,145.0953451,3.0,2.0,house,1.0,2022-09-01,714.0,"$1,100,000",6.0,0.0,4.0,4.0,14038.60048960854
property-house-vic-oakleigh-139763223,Oakleigh,3166,7 Ferntree Gully Road,-37.896186,145.100969,4.0,2.0,house,2.0,2022-07-30,589.0,"$1,799,000",6.0,0.0,5.0,2.0,14503.117807552428
property-house-vic-oakleigh-139636083,Oakleigh,3166,1189 North Road,-37.910198,145.093079,4.0,2.0,house,2.0,2022-07-25,555.0,"$1,215,000",7.0,0.0,4.0,2.0,14975.034544501434
property-house-vic-oakleigh-139695107,Oakleigh,3166,108 Burlington Street,-37.903463,145.102352,3.0,1.0,house,2.0,2022-07-16,630.0,"$1,130,000",6.0,0.0,6.0,2.0,15096.055289677452
property-house-vic-oakleigh-139590391,Oakleigh,3166,4 Rua Court,-37.891659,145.102462,4.0,3.0,house,4.0,2022-07-09,741.0,"$1,611,000",5.0,0.0,3.0,1.0,14314.501419246102
property-house-vic-oakleigh-139360707,Oakleigh,3166,48 John Street,-37.904989,145.100845,2.0,1.0,house,1.0,2022-06-18,547.0,"$950,000",6.0,0.0,6.0,2.0,15101.593906301534
property-house-vic-oakleigh-139301735,Oakleigh,3166,1 Westgate Street,-37.90415145,145.0869396,5.0,2.0,house,2.0,2022-06-04,661.0,"$1,650,000",7.0,0.0,4.0,4.0,14122.680839176368
property-house-vic-oakleigh-139310387,Oakleigh,3166,6 McIntosh Street,-37.910229,145.099448,4.0,2.0,house,2.0,2022-06-04,741.0,"$1,650,000",8.0,0.0,6.0,2.0,15389.48768076762
property-house-vic-oakleigh-139214323,Oakleigh,3166,57 Bishop Street,-37.909208,145.092593,2.0,1.0,house,1.0,2022-05-18,600.0,"$1,421,000",7.0,0.0,4.0,2.0,14868.694634560516
property-house-vic-oakleigh-139102651,Oakleigh,3166,41 Bishop Street,-37.907788,145.092868,3.0,2.0,house,2.0,2022-05-14,600.0,"$1,422,500",7.0,0.0,4.0,3.0,14779.262604348029
property-house-vic-oakleigh-138701947,Oakleigh,3166,37 Clyde Street,-37.898895,145.095145,4.0,2.0,house,5.0,2022-03-26,735.0,"$1,950,000",7.0,0.0,5.0,4.0,14284.973043417698
property-house-vic-oakleigh-138570583,Oakleigh,3166,16 Caloola Avenue,-37.89093013,145.0905723,5.0,2.0,house,4.0,2022-03-19,893.0,"$2,850,000",7.0,0.0,1.0,4.0,13422.768758642731
property-townhouse-vic-oakleigh-138615091,Oakleigh,3166,41 Estelle Street,-37.89282715,145.1055095,3.0,2.0,townhouse,2.0,2022-03-19,348.0,"$1,520,000",5.0,0.0,3.0,1.0,14608.234751680317
property-house-vic-oakleigh-137911162,Oakleigh,3166,1187 North Road,-37.910186,145.09292,4.0,2.0,house,2.0,2022-02-28,557.0,"$1,150,000",7.0,0.0,4.0,2.0,14963.953386441965
property-house-vic-oakleigh-138306962,Oakleigh,3166,43 Abbeygate Street,-37.907445,145.089465,2.0,1.0,house,1.0,2022-02-12,506.0,"$1,425,000",8.0,0.0,4.0,4.0,14534.355373878543
property-unit-vic-oakleigh-138292502,Oakleigh,3166,1/25 Connell Road,-37.90223949,145.0980662,2.0,1.0,unit,2.0,2022-02-03,178.0,"$728,000",7.0,0.0,5.0,3.0,14718.77579486744
property-unit-vic-oakleigh-137975054,Oakleigh,3166,1/22 Palmerston Grove,-37.897121,145.091596,3.0,1.0,unit,2.0,2021-12-29,359.0,"$1,140,000",7.0,0.0,5.0,4.0,13918.90004190223
property-unit-vic-oakleigh-137887954,Oakleigh,3166,1/12 Golf Links Avenue,-37.905351,145.091498,3.0,2.0,unit,1.0,2021-12-11,364.0,"$1,207,500",7.0,0.0,4.0,4.0,14508.098088110606
property-unit-vic-oakleigh-137693218,Oakleigh,3166,1/1221 North Road,-37.91037467,145.096545,3.0,1.0,unit,3.0,2021-11-20,431.0,"$900,000",8.0,0.0,4.0,2.0,15211.419041407808
property-house-vic-oakleigh-137577934,Oakleigh,3166,21 Bishop Street,-37.906405,145.09312,2.0,1.0,house,1.0,2021-11-15,566.0,"$1,370,000",7.0,0.0,4.0,3.0,14692.274711261753
property-house-vic-oakleigh-137478634,Oakleigh,3166,2/27 Downing Street,-37.90116555,145.0935333,3.0,1.0,house,2.0,2021-11-06,224.0,"$1,056,000",7.0,0.0,5.0,4.0,14336.850258466178
