URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-townhouse-vic-reservoir-150473200,Reservoir,3073,1C Mack Street,-37.70373985,145.0127304,3,1,townhouse,2,2026-03-28,,,"$795,000"
property-house-vic-reservoir-149999900,Reservoir,3073,10 Lucas Street,-37.726013,144.99015,4,1,house,1,2026-03-27,,,"$985,000"
property-townhouse-vic-reservoir-150421048,Reservoir,3073,10A Dumbarton Street,-37.70135381,145.0242823,3,2,townhouse,2,2026-03-27,220,m2,"$873,000"
property-residential land-vic-reservoir-204456456,Reservoir,3073,13 Cuthbert Road,-37.717266,145.019111,,,residential land,,2026-03-27,663,m2,"$832,500"
property-townhouse-vic-reservoir-150602852,Reservoir,3073,3/9 Tambo Avenue,-37.72256818,145.0181045,2,2,townhouse,1,2026-03-27,,,"$760,000"
property-townhouse-vic-reservoir-150148228,Reservoir,3073,2/13 Erskine Avenue,-37.72349354,145.0249988,2,2,townhouse,1,2026-03-27,89,m2,"$630,000"
property-house-vic-reservoir-150486552,Reservoir,3073,27 Moira Avenue,-37.69464,144.980008,4,2,house,2,2026-03-26,544,m2,"$960,000"
property-house-vic-reservoir-150486416,Reservoir,3073,68 Dumbarton Street,-37.70214999,145.030841,3,1,house,1,2026-03-26,478,m2,"$752,000"
property-unit-vic-reservoir-150404956,Reservoir,3073,6/32-34 Kelsby Street,-37.7129309,144.9987522,2,1,unit,1,2026-03-26,,,"$600,000"
property-house-vic-reservoir-150500476,Reservoir,3073,25a Moore Crescent,-37.719686,145.000691,5,3,house,2,2026-03-25,324,m2,"$1,509,000"
property-house-vic-reservoir-150244996,Reservoir,3073,5 Joffre Street,-37.730213,145.012492,3,1,house,2,2026-03-25,538,m2,"$1,300,000"
property-townhouse-vic-reservoir-150473140,Reservoir,3073,1/73 Crookston Road,-37.70993514,145.0170091,3,2,townhouse,2,2026-03-25,215,m2,"$870,000"
property-house-vic-reservoir-149375492,Reservoir,3073,87 McFadzean Avenue,-37.703249,144.997049,3,1,house,2,2026-03-24,866,m2,"$1,065,000"
property-townhouse-vic-reservoir-149738012,Reservoir,3073,2/199 Purinuan Road,-37.70761896,145.0121,3,2,townhouse,2,2026-03-24,,,"$740,000"
property-unit-vic-reservoir-150595056,Reservoir,3073,14/47-49 Rathcown Road,-37.71181615,145.0295865,2,1,unit,1,2026-03-24,,,"$541,000"
property-house-vic-reservoir-150472952,Reservoir,3073,16 Dawson Street,-37.700315,144.987748,3,2,house,4,2026-03-23,658,m2,"$1,325,000"
property-house-vic-reservoir-150380872,Reservoir,3073,15 Clinnick Street,-37.72004,144.998741,3,1,house,4,2026-03-21,505,m2,"$1,130,000"
property-house-vic-reservoir-150399296,Reservoir,3073,13 Amery Street,-37.698665,144.988235,3,2,house,4,2026-03-21,558,m2,"$1,115,000"
property-townhouse-vic-reservoir-150188196,Reservoir,3073,4/4 Kelsby Street,-37.71513725,144.9983845,3,2,townhouse,2,2026-03-21,,,"$910,000"
property-townhouse-vic-reservoir-150189320,Reservoir,3073,1/158 Broadway,-37.71748889,145.0156433,4,2,townhouse,2,2026-03-21,,,"$830,000"
property-house-vic-reservoir-150471028,Reservoir,3073,51A Drysdale Street,-37.72943381,145.0206439,3,2,house,2,2026-03-21,,,"$775,000"
property-house-vic-reservoir-149186228,Reservoir,3073,13 Anstey Avenue,-37.692513,144.976811,3,1,house,3,2026-03-21,530,m2,"$732,000"
property-townhouse-vic-reservoir-150399660,Reservoir,3073,2/39 Purinuan Road,-37.70956137,145.0308175,2,1,townhouse,1,2026-03-21,,,"$580,000"
property-unit-vic-reservoir-150399572,Reservoir,3073,3/34 Barton Street,-37.71140824,145.0033091,1,1,unit,1,2026-03-21,,,"$415,000"
property-townhouse-vic-reservoir-150478692,Reservoir,3073,4/84-86 Pine Street,-37.71666659,144.998603,3,1,townhouse,2,2026-03-20,,,"$800,000"
property-unit-vic-reservoir-150164488,Reservoir,3073,2/23 Southernhay Street,-37.72572049,145.011921,2,1,unit,1,2026-03-20,,,"$676,000"
