URL,primary_school,secondary_school,preschool,train_station
property-house-vic-oakleigh-125823942,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-125833206,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-126026058,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-126033654,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-126144486,8.0,0.0,4.0,3.0
property-house-vic-oakleigh-126160914,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-126191106,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-126218886,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-126238494,8.0,0.0,6.0,2.0
property-house-vic-oakleigh-126351466,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-126377170,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-126412986,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-126423498,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-126458454,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-126458482,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-126709322,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-126728782,8.0,0.0,1.0,4.0
property-house-vic-oakleigh-126823446,8.0,0.0,1.0,5.0
property-house-vic-oakleigh-126936550,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-127022102,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-127153762,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-127403522,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-127443606,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-127623686,6.0,0.0,1.0,4.0
property-house-vic-oakleigh-127683182,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-127688970,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-127771270,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-127827878,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-128280790,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-128284294,8.0,0.0,5.0,2.0
property-house-vic-oakleigh-128290182,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-128347662,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-128439330,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-128497666,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-128504546,6.0,0.0,5.0,3.0
property-house-vic-oakleigh-128515566,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-128568082,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-128672026,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-128698726,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-128810626,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-128829854,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-128863694,8.0,0.0,1.0,4.0
property-house-vic-oakleigh-128917558,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-129416566,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-129785730,7.0,0.0,6.0,3.0
property-house-vic-oakleigh-129844046,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-130274294,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-130304906,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-130402934,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-130503298,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-130625986,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-130660942,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-130964230,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-131025682,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-131209530,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-131210734,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-131224834,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-131487766,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-131531578,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-131594850,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-131770438,6.0,0.0,6.0,3.0
property-house-vic-oakleigh-131853890,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-132322054,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-132327458,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-132429086,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-132448374,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-132464402,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-132464442,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-132464678,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-132904134,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-132968138,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-132981410,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-133013366,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-133249138,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-133249142,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-133319354,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-133462298,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-133558302,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-133600682,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-133720694,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-133857866,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-133959558,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-134107178,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-134510906,6.0,0.0,5.0,4.0
property-house-vic-oakleigh-134800486,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-134851014,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-134870846,8.0,0.0,1.0,5.0
property-house-vic-oakleigh-134965070,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-135309110,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-135450534,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-135464974,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-135555642,7.0,0.0,1.0,5.0
property-house-vic-oakleigh-135601434,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-135768626,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-135786482,6.0,0.0,4.0,3.0
property-house-vic-oakleigh-135923510,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-135944706,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-136013078,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-136018454,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-136069378,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-136177018,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-136251654,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-136288430,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-136305318,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-136338502,7.0,0.0,5.0,3.0
property-house-vic-oakleigh-136348366,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-136348686,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-136644358,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-136724354,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-136729974,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-136911930,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-136912210,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-137381018,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-137478634,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-137543518,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-137577934,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-137680730,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-137726454,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-137834278,7.0,0.0,6.0,4.0
property-house-vic-oakleigh-137911162,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-138045518,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-138051338,7.0,0.0,5.0,2.0
property-house-vic-oakleigh-138306962,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-138313382,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-138319186,8.0,0.0,4.0,4.0
property-house-vic-oakleigh-138328726,7.0,0.0,3.0,3.0
property-house-vic-oakleigh-138570583,7.0,0.0,1.0,4.0
property-house-vic-oakleigh-138633399,8.0,0.0,4.0,2.0
property-house-vic-oakleigh-138701947,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-139020551,6.0,0.0,7.0,2.0
property-house-vic-oakleigh-139102651,7.0,0.0,4.0,3.0
property-house-vic-oakleigh-139214323,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-139249639,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-139301735,7.0,0.0,4.0,4.0
property-house-vic-oakleigh-139310387,8.0,0.0,6.0,2.0
property-house-vic-oakleigh-139335187,5.0,0.0,3.0,2.0
property-house-vic-oakleigh-139360707,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-139441419,7.0,0.0,6.0,2.0
property-house-vic-oakleigh-139590391,5.0,0.0,3.0,1.0
property-house-vic-oakleigh-139636083,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-139695107,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-139735463,6.0,0.0,4.0,4.0
property-house-vic-oakleigh-139763223,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-140019467,6.0,0.0,5.0,2.0
property-house-vic-oakleigh-140070619,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-140276191,7.0,0.0,5.0,4.0
property-house-vic-oakleigh-140389659,7.0,0.0,4.0,2.0
property-house-vic-oakleigh-140543891,6.0,0.0,6.0,2.0
property-house-vic-oakleigh-140574987,5.0,0.0,3.0,2.0
property-house-vic-oakleigh-140769871,6.0,0.0,6.0,2.0
