URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Y = Sold price
property-house-vic-reservoir-145926008,Reservoir,3073,50 Cheddar Road,-37.709589,145.013142,3.0,2.0,house,2.0,2024-10-12,450.0,"$845,000"
property-house-vic-reservoir-145896952,Reservoir,3073,73 Lane Crescent,-37.712984,145.021131,3.0,1.0,house,2.0,2024-10-12,678.0,"$685,000"
property-villa-vic-reservoir-145974552,Reservoir,3073,2/16 Cuthbert Road,-37.71648085,145.0149235,2.0,1.0,villa,2.0,2024-10-12,178.0,"$585,000"
property-unit-vic-reservoir-146034632,Reservoir,3073,4/14 Drysdale Street,-37.72959286,145.0243933,2.0,1.0,unit,1.0,2024-10-12,120.0,"$453,600"
property-house-vic-reservoir-146046368,Reservoir,3073,93 Broadhurst Avenue,-37.707957,144.996718,3.0,1.0,house,1.0,2024-10-11,762.0,"$931,000"
property-house-vic-reservoir-145672228,Reservoir,3073,13 Lindenow Street,-37.697001,145.005406,3.0,1.0,house,1.0,2024-10-11,860.0,"$910,000"
property-house-vic-reservoir-145723228,Reservoir,3073,38 Oakhill Avenue,-37.727103,145.014583,4.0,1.0,house,1.0,2024-10-10,661.0,"$1,310,000"
property-house-vic-reservoir-145926012,Reservoir,3073,6 Fordham Road,-37.714629,145.019295,5.0,3.0,house,3.0,2024-10-09,670.0,"$1,040,000"
property-house-vic-reservoir-145592868,Reservoir,3073,2 Liston Avenue,-37.697617,145.020531,3.0,1.0,house,3.0,2024-10-04,541.0,"$660,000"
property-unit-vic-reservoir-145160908,Reservoir,3073,3/21 Harmer Street,-37.70158801,145.0150814,3.0,2.0,unit,2.0,2024-10-02,230.0,"$682,000"
property-unit-vic-reservoir-145782140,Reservoir,3073,2/27 Erskine Avenue,-37.72254649,145.0245136,2.0,1.0,unit,1.0,2024-10-02,127.0,"$515,000"
property-townhouse-vic-reservoir-145397216,Reservoir,3073,3/12 Delaware Street,-37.72059084,145.0151814,2.0,1.0,townhouse,1.0,2024-10-01,102.0,"$675,000"
property-house-vic-reservoir-145927132,Reservoir,3073,191 Spring Street,-37.722175,145.001872,2.0,1.0,house,2.0,2024-09-28,652.0,"$720,000"
property-house-vic-reservoir-145609904,Reservoir,3073,25 Andrews Avenue,-37.730179,145.033518,2.0,1.0,house,1.0,2024-09-27,525.0,"$625,000"
property-house-vic-reservoir-145991120,Reservoir,3073,44 Locher Avenue,-37.69858,145.023148,3.0,1.0,house,4.0,2024-09-25,584.0,"$890,000"
property-house-vic-reservoir-145677156,Reservoir,3073,74 Radford Road,-37.704076,144.983677,3.0,1.0,house,2.0,2024-09-23,860.0,"$910,000"
property-unit-vic-reservoir-145852372,Reservoir,3073,2/165-169 Broadhurst Avenue,-37.70726065,144.9888327,2.0,1.0,unit,1.0,2024-09-21,148.0,"$532,000"
property-townhouse-vic-reservoir-145893392,Reservoir,3073,1/116 Summerhill Road,-37.72564236,145.0242062,3.0,2.0,townhouse,2.0,2024-09-17,213.0,"$675,000"
property-house-vic-reservoir-145781888,Reservoir,3073,57 Lawley Street,-37.701223,144.990798,4.0,1.0,house,4.0,2024-09-16,802.0,"$1,120,000"
property-house-vic-reservoir-143204232,Reservoir,3073,955 High Street,-37.70977,145.008512,4.0,1.0,house,4.0,2024-09-16,653.0,"$915,000"
property-house-vic-reservoir-145296732,Reservoir,3073,1/14 Smith Street,-37.70258296,145.0120486,3.0,1.0,house,1.0,2024-09-16,342.0,"$715,000"
property-house-vic-reservoir-145788604,Reservoir,3073,62 Orrong Avenue,-37.71236,145.013525,2.0,1.0,house,1.0,2024-09-16,650.0,"$675,000"
property-house-vic-reservoir-145795524,Reservoir,3073,109 Cuthbert Road,-37.716208,145.010336,2.0,1.0,house,1.0,2024-09-14,841.0,"$1,256,000"
property-house-vic-reservoir-145811864,Reservoir,3073,52 Dredge Street,-37.695508,144.993889,3.0,2.0,house,4.0,2024-09-14,738.0,"$900,000"
property-house-vic-reservoir-145810620,Reservoir,3073,15 McMahon Road,-37.71174,145.023569,3.0,1.0,house,2.0,2024-09-14,296.0,"$820,000"
property-house-vic-reservoir-145894564,Reservoir,3073,37 Botha Avenue,-37.703018,145.000946,3.0,2.0,house,6.0,2024-09-13,846.0,"$1,123,000"
property-house-vic-reservoir-145458508,Reservoir,3073,18 Thackeray Road,-37.721487,145.014483,3.0,1.0,house,6.0,2024-09-11,697.0,"$1,125,000"
property-house-vic-reservoir-145877460,Reservoir,3073,16 Inverness Street,-37.70303,145.030051,3.0,1.0,house,3.0,2024-09-11,836.0,"$1,045,000"
property-house-vic-reservoir-145750796,Reservoir,3073,64 Yarra Avenue,-37.718911,145.017786,4.0,2.0,house,2.0,2024-09-07,837.0,"$1,450,000"
property-house-vic-reservoir-145718792,Reservoir,3073,25 Greig Street,-37.701424,144.986732,4.0,2.0,house,3.0,2024-09-07,753.0,"$1,320,000"
property-house-vic-reservoir-145462356,Reservoir,3073,184 Spring Street,-37.722317,145.002254,2.0,1.0,house,3.0,2024-09-06,565.0,"$723,000"
property-unit-vic-reservoir-145900460,Reservoir,3073,40A Liston Avenue,-37.69707055,145.017489,2.0,2.0,unit,1.0,2024-09-04,181.0,"$610,000"
property-house-vic-reservoir-145673060,Reservoir,3073,17 Leamington Street,-37.713113,145.006358,3.0,1.0,house,2.0,2024-08-31,744.0,"$1,085,000"
property-house-vic-reservoir-145679780,Reservoir,3073,65 Darebin Boulevard,-37.703618,145.026927,3.0,1.0,house,3.0,2024-08-31,892.0,"$1,073,000"
property-house-vic-reservoir-145659908,Reservoir,3073,1/41 Marchant Avenue,-37.71394227,145.0134914,3.0,2.0,house,1.0,2024-08-31,343.0,"$676,000"
property-townhouse-vic-reservoir-145700160,Reservoir,3073,5/830 High Street,-37.72384649,145.006709,2.0,1.0,townhouse,1.0,2024-08-31,144.0,"$675,000"
property-house-vic-reservoir-145494780,Reservoir,3073,33 Wilson Boulevard,-37.705361,144.994066,3.0,1.0,house,6.0,2024-08-30,1545.0,"$960,000"
property-house-vic-reservoir-145751400,Reservoir,3073,11 Broadhurst Avenue,-37.708854,145.007107,2.0,1.0,house,2.0,2024-08-28,844.0,"$960,000"
property-house-vic-reservoir-145633120,Reservoir,3073,151 Broadhurst Avenue,-37.707402,144.990597,3.0,1.0,house,4.0,2024-08-24,715.0,"$932,500"
property-unit-vic-reservoir-145622144,Reservoir,3073,1/41 Lloyd Avenue,-37.6981489,145.0135674,2.0,1.0,unit,2.0,2024-08-24,235.0,"$650,000"
property-house-vic-reservoir-145389456,Reservoir,3073,30  Joffre Street,-37.72836066,145.013181,3.0,2.0,house,5.0,2024-08-21,730.0,"$1,430,000"
property-house-vic-reservoir-145528684,Reservoir,3073,36 Greig Street,-37.699849,144.984733,4.0,1.0,house,4.0,2024-08-17,760.0,"$1,075,000"
property-house-vic-reservoir-145541356,Reservoir,3073,20 North Road,-37.721508,145.023741,3.0,1.0,house,4.0,2024-08-17,640.0,"$950,888"
property-townhouse-vic-reservoir-145557552,Reservoir,3073,2/44 Rathcown Road,-37.71024321,145.0303321,2.0,1.0,townhouse,2.0,2024-08-17,133.0,"$640,000"
property-house-vic-reservoir-145114516,Reservoir,3073,23 Kenilworth Street,-37.714166,145.005241,3.0,1.0,house,4.0,2024-08-15,1011.0,"$1,420,000"
property-house-vic-reservoir-145678244,Reservoir,3073,1 Kilmore Avenue,-37.718887,145.024911,3.0,1.0,house,1.0,2024-08-15,601.0,"$890,000"
property-house-vic-reservoir-144646204,Reservoir,3073,25 Barton Street,-37.71194205,145.0056252,3.0,1.0,house,2.0,2024-08-14,624.0,"$975,000"
property-townhouse-vic-reservoir-139427311,Reservoir,3073,2/4 Clingin Street,-37.72871676,145.0360576,2.0,1.0,townhouse,1.0,2024-08-14,199.0,"$530,000"
property-house-vic-reservoir-145540672,Reservoir,3073,224 Albert Street,-37.728493,145.025949,3.0,1.0,house,2.0,2024-08-12,715.0,"$717,500"
property-house-vic-reservoir-145399044,Reservoir,3073,17 Tovey Street,-37.701011,144.999514,3.0,1.0,house,1.0,2024-08-09,693.0,"$780,000"
property-unit-vic-reservoir-145297000,Reservoir,3073,5/835 Plenty Road,-37.72381265,145.0273178,2.0,1.0,unit,2.0,2024-08-09,180.0,"$545,000"
property-house-vic-reservoir-145464952,Reservoir,3073,60 Wilson Boulevard,-37.699177,144.993405,4.0,1.0,house,4.0,2024-08-03,956.0,"$1,020,000"
property-house-vic-reservoir-145487596,Reservoir,3073,82 Rathcown Road,-37.709472,145.023981,3.0,1.0,house,3.0,2024-08-03,890.0,"$1,001,500"
property-house-vic-reservoir-145456012,Reservoir,3073,76 Whitelaw Street,-37.712292,145.02022,4.0,1.0,house,3.0,2024-08-03,700.0,"$955,000"
property-house-vic-reservoir-143503588,Reservoir,3073,53 Burbank Drive,-37.699616,145.025797,4.0,1.0,house,1.0,2024-08-03,614.0,"$700,000"
property-unit-vic-reservoir-145350220,Reservoir,3073,1/75 Purinuan Road,-37.70913135,145.0272687,3.0,1.0,unit,2.0,2024-08-03,170.0,"$590,000"
property-house-vic-reservoir-145516768,Reservoir,3073,16 Station Street,-37.72938,145.003187,2.0,1.0,house,1.0,2024-08-02,370.0,"$850,000"
property-house-vic-reservoir-143371864,Reservoir,3073,4 Orrong Avenue,-37.714813,145.009353,3.0,1.0,house,2.0,2024-08-01,652.0,"$890,000"
property-house-vic-reservoir-145248736,Reservoir,3073,7 Crookston Road,-37.710784,145.023754,3.0,1.0,house,2.0,2024-08-01,706.0,"$840,000"
property-house-vic-reservoir-144937064,Reservoir,3073,35 Bray Street,-37.69835,144.986112,4.0,2.0,house,2.0,2024-07-31,832.0,"$1,130,000"
property-house-vic-reservoir-144765656,Reservoir,3073,14 Ryan Street,-37.701821,144.998381,3.0,1.0,house,1.0,2024-07-29,766.0,"$780,000"
property-house-vic-reservoir-145412604,Reservoir,3073,21 Henderson Street,-37.697477,145.00156,4.0,2.0,house,2.0,2024-07-27,864.0,"$1,131,000"
property-house-vic-reservoir-145407244,Reservoir,3073,34 Daventry Street,-37.713394,145.001665,3.0,1.0,house,1.0,2024-07-27,613.0,"$1,120,000"
property-house-vic-reservoir-144980552,Reservoir,3073,3 Rodman Street,-37.702802,145.007893,3.0,1.0,house,6.0,2024-07-27,946.0,"$975,000"
property-house-vic-reservoir-145377784,Reservoir,3073,42 Broadhurst Avenue,-37.708135,145.002453,3.0,1.0,house,8.0,2024-07-27,960.0,"$970,000"
property-house-vic-reservoir-144708328,Reservoir,3073,25 Ludeman Court,-37.698601,144.997708,3.0,1.0,house,4.0,2024-07-27,956.0,"$880,000"
property-house-vic-reservoir-145399488,Reservoir,3073,63 Rathcown Road,-37.710272,145.028157,3.0,1.0,house,3.0,2024-07-27,742.0,"$842,000"
property-townhouse-vic-reservoir-145399468,Reservoir,3073,4/75 St Vigeons Road,-37.70679082,145.0227542,2.0,1.0,townhouse,1.0,2024-07-27,144.0,"$677,888"
property-unit-vic-reservoir-145399036,Reservoir,3073,17 Lawson Street,-37.71807,145.014875,2.0,1.0,unit,2.0,2024-07-27,190.0,"$600,000"
property-unit-vic-reservoir-145399024,Reservoir,3073,5/2 Griffiths Street,-37.71432951,144.9958,2.0,1.0,unit,1.0,2024-07-27,207.0,"$560,000"
property-unit-vic-reservoir-145342408,Reservoir,3073,9/2A Crookston Road,-37.71053544,145.0244011,2.0,1.0,unit,1.0,2024-07-27,142.0,"$520,000"
property-townhouse-vic-reservoir-145411728,Reservoir,3073,1/134 Purinuan Road,-37.70759993,145.0174453,2.0,1.0,townhouse,2.0,2024-07-25,209.0,"$633,500"
property-house-vic-reservoir-145120376,Reservoir,3073,23 Drysdale Street,-37.729818,145.023837,3.0,1.0,house,4.0,2024-07-23,533.0,"$747,000"
property-house-vic-reservoir-145324324,Reservoir,3073,173 Rathcown Road,-37.7086,145.014499,4.0,2.0,house,1.0,2024-07-20,737.0,"$950,000"
property-house-vic-reservoir-145335584,Reservoir,3073,1A Rodman Street,-37.70304,145.008114,3.0,1.0,house,2.0,2024-07-20,484.0,"$832,000"
property-townhouse-vic-reservoir-145338408,Reservoir,3073,3/39 Marchant Avenue,-37.71427042,145.0135078,2.0,2.0,townhouse,1.0,2024-07-17,117.0,"$650,000"
property-house-vic-reservoir-145302980,Reservoir,3073,27 Ryan Street,-37.700121,144.998075,3.0,1.0,house,4.0,2024-07-13,600.0,"$840,000"
property-house-vic-reservoir-143503432,Reservoir,3073,106 Miranda Road,-37.706463,145.016563,3.0,2.0,house,4.0,2024-07-13,744.0,"$827,000"
property-unit-vic-reservoir-145296616,Reservoir,3073,1/21 Whitelaw Street,-37.71494298,145.0142841,2.0,1.0,unit,1.0,2024-07-13,197.0,"$590,000"
property-house-vic-reservoir-145210464,Reservoir,3073,33 Shand Road,-37.721121,145.019508,3.0,1.0,house,1.0,2024-07-10,633.0,"$1,085,000"
property-house-vic-reservoir-144802016,Reservoir,3073,7A Broadhurst Avenue,-37.709152,145.007477,4.0,2.0,house,2.0,2024-07-09,353.0,"$815,000"
