URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-unit-vic-oakleigh-132135018,Oakleigh,3166,1/1518 Dandenong Road,-37.8987742,145.101523,4,2,unit,1,2019-11-09,,,"$765,000"
property-apartment-vic-oakleigh-132175130,Oakleigh,3166,16/82-86 Atherton Road,-37.89942033,145.0937799,2,1,apartment,2,2019-11-09,,,"$423,500"
property-house-vic-oakleigh-132077342,Oakleigh,3166,1 Westgate Street,-37.90415145,145.0869396,4,2,house,2,2019-10-26,,,"$1,550,000"
property-residential land-vic-oakleigh-202503714,Oakleigh,3166,11 Norfolk Avenue,-37.899141,145.100336,,,residential land,,2019-10-26,611,m2,"$1,150,000"
property-townhouse-vic-oakleigh-132027702,Oakleigh,3166,1/69 Drummond Street,-37.89014671,145.0910801,3,2,townhouse,3,2019-10-19,259,m2,"$1,000,000"
property-unit-vic-oakleigh-131999446,Oakleigh,3166,1/1 Leroux Street,-37.89617211,145.1042212,2,1,unit,1,2019-10-19,,,"$667,000"
property-house-vic-oakleigh-129844046,Oakleigh,3166,20 Mora Avenue,-37.902362,145.089436,3,1,house,3,2019-10-18,723,m2,"$1,149,000"
property-house-vic-oakleigh-130274294,Oakleigh,3166,38 Andrew Street,-37.909505,145.094192,3,1,house,5,2019-09-28,673,m2,"$1,100,000"
property-house-vic-oakleigh-131853890,Oakleigh,3166,13 Henry Street,-37.902021,145.104038,3,1,house,1,2019-09-21,543,m2,"$1,120,000"
property-unit-vic-oakleigh-131748166,Oakleigh,3166,2/24 Grant Street,-37.898831,145.0979987,2,1,unit,1,2019-09-14,,,"$742,000"
property-house-vic-oakleigh-131742338,Oakleigh,3166,39 Davey Avenue,-37.902956,145.090491,3,2,house,2,2019-09-04,,,"$1,205,000"
property-house-vic-oakleigh-131256990,Oakleigh,3166,1237 North Road,-37.910661,145.098269,2,1,house,1,2019-08-31,,,"$851,000"
property-unit-vic-oakleigh-131619622,Oakleigh,3166,1/8 Westminster Street,-37.90061007,145.0960376,2,1,unit,1,2019-08-31,,,"$740,000"
property-house-vic-oakleigh-131770438,Oakleigh,3166,12 Lincoln Avenue,-37.898812,145.099537,4,2,house,2,2019-08-28,532,m2,"$1,640,000"
