URL,Suburb ,Postcode,Address,Latitude,Longitude,Bedroom,Bathroom ,Type ,Car Park space,Last sold date,Land size,Land size unit,Y = Sold price
property-apartment-vic-thornbury-143437744,Thornbury,3071,104/85 Hutton Street,-37.75538524,144.9935337,2.0,1.0,apartment,1.0,2023-11-18,,,"$518,000"
property-house-vic-thornbury-143588808,Thornbury,3071,11 Watt Street,-37.753507,144.995413,3.0,1.0,house,2.0,2023-11-17,,,"$1,110,000"
property-apartment-vic-thornbury-143441060,Thornbury,3071,4/77 Pender Street,-37.75420692,145.0100227,2.0,1.0,apartment,1.0,2023-11-17,,,"$420,000"
property-unit-vic-thornbury-143394756,Thornbury,3071,4/37 Clapham Street,-37.75428274,144.9980153,1.0,1.0,unit,1.0,2023-11-11,,,"$440,000"
property-house-vic-thornbury-143368056,Thornbury,3071,36 Harold Street,-37.756437,144.997556,3.0,2.0,house,3.0,2023-11-10,500.0,m2,"$1,420,000"
property-house-vic-thornbury-143464036,Thornbury,3071,368 Station Street,-37.76189164,145.0207647,3.0,1.0,house,2.0,2023-11-10,383.0,m2,"$955,000"
property-unit-vic-thornbury-142908556,Thornbury,3071,5/20 Alexandra Street,-37.76285981,145.0069074,2.0,1.0,unit,1.0,2023-11-06,,,"$570,000"
property-apartment-vic-thornbury-142843776,Thornbury,3071,1/2 Dundas Street,-37.752559,145.002317,2.0,1.0,apartment,1.0,2023-11-04,,,"$557,000"
property-apartment-vic-thornbury-143285356,Thornbury,3071,7/30 Kemp Street,-37.76180113,144.9941468,2.0,1.0,apartment,1.0,2023-11-03,,,"$527,500"
property-house-vic-thornbury-142796864,Thornbury,3071,292 Mansfield Street,-37.758933,145.023664,3.0,1.0,house,4.0,2023-11-02,470.0,m2,"$1,160,000"
property-house-vic-thornbury-143255972,Thornbury,3071,297 Raleigh Street,-37.76094,145.022396,2.0,1.0,house,1.0,2023-10-29,,,"$980,000"
property-house-vic-thornbury-143280520,Thornbury,3071,48 Flinders Street,-37.756076,145.004433,2.0,1.0,house,,2023-10-26,306.0,m2,"$1,382,000"
property-unit-vic-thornbury-143314736,Thornbury,3071,1/64 Collins Street,-37.75528059,145.0069346,2.0,1.0,unit,1.0,2023-10-26,,,"$680,000"
